uf;br_formatada;municipio;mes;trimestre;dia_semana;dia_semana_num;fim_de_semana;hora;faixa_horaria;turno;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo;acidente_fatal
RN;BR-110;AREIA BRANCA;11.0;4.0;DOMINGO;2.0;0;7;06h-08h;MANHA;PLENO DIA;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRANSVERSAL;CÉU CLARO;SIMPLES;RETA;SIM;0
MG;BR-040;PARACATU;11.0;4.0;DOMINGO;2.0;0;5;03h-05h;MADRUGADA;AMANHECER;ESTACIONAR OU PARAR EM LOCAL PROIBIDO;COLISÃO COM OBJETO;CÉU CLARO;SIMPLES;RETA;NÃO;0
MG;BR-365;UBERLANDIA;11.0;4.0;DOMINGO;2.0;0;8;06h-08h;MANHA;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;RETA;NÃO;1
MG;BR-381;NEPOMUCENO;11.0;4.0;DOMINGO;2.0;0;8;06h-08h;MANHA;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;TOMBAMENTO;SOL;DUPLA;"CURVA;DECLIVE";NÃO;1
MA;BR-010;IMPERATRIZ;11.0;4.0;DOMINGO;2.0;0;6;06h-08h;MANHA;PLENO DIA;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;DUPLA;RETA;SIM;0
PR;BR-277;CASCAVEL;11.0;4.0;DOMINGO;2.0;0;9;09h-11h;MANHA;PLENO DIA;TRANSITAR NA CONTRAMÃO;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;RETA;NÃO;1
BA;BR-116;SERRINHA;11.0;4.0;DOMINGO;2.0;0;7;06h-08h;MANHA;PLENO DIA;CONDUTOR DORMINDO;COLISÃO LATERAL SENTIDO OPOSTO;GAROA/CHUVISCO;SIMPLES;RETA;NÃO;0
MG;BR-381;CAMANDUCAIA;11.0;4.0;DOMINGO;2.0;0;9;09h-11h;MANHA;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO COM OBJETO;GAROA/CHUVISCO;DUPLA;"CURVA;DECLIVE";NÃO;0
MT;BR-163;MATUPA;11.0;4.0;DOMINGO;2.0;0;9;09h-11h;MANHA;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;SIMPLES;RETA;SIM;0
PA;BR-230;ITAITUBA;11.0;4.0;DOMINGO;2.0;0;12;12h-14h;TARDE;PLENO DIA;CHUVA;COLISÃO LATERAL SENTIDO OPOSTO;CHUVA;SIMPLES;"CURVA;DECLIVE";NÃO;0
MG;BR-116;SANTA RITA DE MINAS;11.0;4.0;DOMINGO;2.0;0;9;09h-11h;MANHA;PLENO DIA;VELOCIDADE INCOMPATÍVEL;TOMBAMENTO;CÉU CLARO;SIMPLES;CURVA;NÃO;0
RS;BR-290;PORTO ALEGRE;11.0;4.0;DOMINGO;2.0;0;16;15h-17h;TARDE;PLENO DIA;INGESTÃO DE ÁLCOOL PELO CONDUTOR;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;MÚLTIPLA;RETA;NÃO;0
SC;BR-282;XAXIM;11.0;4.0;DOMINGO;2.0;0;17;15h-17h;TARDE;PLENO DIA;ULTRAPASSAGEM INDEVIDA;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;SIMPLES;RETA;NÃO;0
BA;BR-242;OLIVEIRA DOS BREJINHOS;11.0;4.0;DOMINGO;2.0;0;7;06h-08h;MANHA;PLENO DIA;FREAR BRUSCAMENTE;CAPOTAMENTO;CÉU CLARO;SIMPLES;"CURVA;ACLIVE";NÃO;0
SP;BR-381;BRAGANCA PAULISTA;11.0;4.0;DOMINGO;2.0;0;18;18h-20h;NOITE;PLENA NOITE;ULTRAPASSAGEM INDEVIDA;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;RETA;NÃO;0
SC;BR-470;CURITIBANOS;11.0;4.0;DOMINGO;2.0;0;18;18h-20h;NOITE;PLENA NOITE;CONVERSÃO PROIBIDA;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;RETA;SIM;0
RS;BR-470;BENTO GONCALVES;11.0;4.0;DOMINGO;2.0;0;18;18h-20h;NOITE;ANOITECER;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;"RETA;INTERSEÇÃO DE VIAS";NÃO;0
BA;BR-101;CONCEICAO DO JACUIPE;11.0;4.0;DOMINGO;2.0;0;19;18h-20h;NOITE;PLENA NOITE;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO LATERAL SENTIDO OPOSTO;CHUVA;DUPLA;ACLIVE;NÃO;0
MG;BR-262;IBIA;11.0;4.0;DOMINGO;2.0;0;19;18h-20h;NOITE;PLENA NOITE;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;INCÊNDIO;CÉU CLARO;SIMPLES;RETA;NÃO;0
SE;BR-101;CRISTINAPOLIS;11.0;4.0;DOMINGO;2.0;0;18;18h-20h;NOITE;ANOITECER;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;GAROA/CHUVISCO;SIMPLES;RETA;NÃO;0
PA;BR-230;MARABA;11.0;4.0;DOMINGO;2.0;0;20;18h-20h;NOITE;PLENA NOITE;INGESTÃO DE ÁLCOOL PELO CONDUTOR;COLISÃO LATERAL SENTIDO OPOSTO;CÉU CLARO;SIMPLES;RETA;SIM;0
MT;BR-364;PEDRA PRETA;11.0;4.0;DOMINGO;2.0;0;18;18h-20h;NOITE;PLENA NOITE;ULTRAPASSAGEM INDEVIDA;COLISÃO LATERAL SENTIDO OPOSTO;CÉU CLARO;SIMPLES;RETA;NÃO;0
TO;BR-153;OLIVEIRA DE FATIMA;11.0;4.0;DOMINGO;2.0;0;18;18h-20h;NOITE;ANOITECER;ULTRAPASSAGEM INDEVIDA;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;RETA;NÃO;0
MG;BR-251;FRANCISCO SA;11.0;4.0;DOMINGO;2.0;0;21;21h-23h;NOITE;PLENA NOITE;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;SIMPLES;"CURVA;DECLIVE";NÃO;0
GO;BR-414;CORUMBA DE GOIAS;11.0;4.0;DOMINGO;2.0;0;20;18h-20h;NOITE;PLENO DIA;CONDUTOR DORMINDO;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;"CURVA;DECLIVE";NÃO;1
RS;BR-290;ROSARIO DO SUL;11.0;4.0;DOMINGO;2.0;0;19;18h-20h;NOITE;PLENA NOITE;TRANSITAR NA CONTRAMÃO;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;"RETA;PONTE";NÃO;1
BA;BR-101;ALAGOINHAS;11.0;4.0;DOMINGO;2.0;0;20;18h-20h;NOITE;PLENA NOITE;INGESTÃO DE ÁLCOOL PELO CONDUTOR;COLISÃO TRANSVERSAL;NUBLADO;SIMPLES;"RETA;INTERSEÇÃO DE VIAS";SIM;0
MT;BR-070;GENERAL CARNEIRO;11.0;4.0;DOMINGO;2.0;0;19;18h-20h;NOITE;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;TOMBAMENTO;NUBLADO;SIMPLES;CURVA;NÃO;0
MT;BR-174;CONQUISTA DOESTE;11.0;4.0;DOMINGO;2.0;0;18;18h-20h;NOITE;ANOITECER;ULTRAPASSAGEM INDEVIDA;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;SIMPLES;"RETA;PONTE";NÃO;0
PR;BR-369;CASCAVEL;12.0;4.0;SEGUNDA-FEIRA;4.0;0;3;03h-05h;MADRUGADA;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;CURVA;SIM;1
RS;BR-386;ESTRELA;12.0;4.0;SEGUNDA-FEIRA;4.0;0;6;06h-08h;MANHA;PLENO DIA;TRAFEGAR COM MOTOCICLETA (OU SIMILAR) ENTRE AS FAIXAS;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;"EM OBRAS;RETA";NÃO;0
MS;BR-060;CAMPO GRANDE;12.0;4.0;SEGUNDA-FEIRA;4.0;0;5;03h-05h;MADRUGADA;PLENO DIA;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL SENTIDO OPOSTO;CÉU CLARO;SIMPLES;RETA;NÃO;0
MT;BR-163;NOVA MUTUM;12.0;4.0;SEGUNDA-FEIRA;4.0;0;5;03h-05h;MADRUGADA;AMANHECER;NEBLINA;COLISÃO TRASEIRA;NEVOEIRO/NEBLINA;DUPLA;RETA;NÃO;0
PI;BR-343;TERESINA;12.0;4.0;SEGUNDA-FEIRA;4.0;0;6;06h-08h;MANHA;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;DUPLA;RETA;SIM;0
SP;BR-116;ARUJA;12.0;4.0;SEGUNDA-FEIRA;4.0;0;8;06h-08h;MANHA;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO LATERAL MESMO SENTIDO;NUBLADO;DUPLA;RETA;NÃO;0
AM;BR-230;HUMAITA;12.0;4.0;SEGUNDA-FEIRA;4.0;0;5;03h-05h;MADRUGADA;AMANHECER;CONDUTOR DORMINDO;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;SIMPLES;RETA;NÃO;0
MG;BR-381;BRUMADINHO;12.0;4.0;SEGUNDA-FEIRA;4.0;0;8;06h-08h;MANHA;PLENO DIA;VELOCIDADE INCOMPATÍVEL;TOMBAMENTO;CÉU CLARO;DUPLA;CURVA;NÃO;0
PR;BR-476;LAPA;12.0;4.0;SEGUNDA-FEIRA;4.0;0;7;06h-08h;MANHA;AMANHECER;VELOCIDADE INCOMPATÍVEL;TOMBAMENTO;NUBLADO;SIMPLES;"CURVA;ACLIVE";NÃO;0
RS;BR-116;GUAIBA;12.0;4.0;SEGUNDA-FEIRA;4.0;0;8;06h-08h;MANHA;PLENO DIA;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;DUPLA;RETA;NÃO;0
RJ;BR-393;BARRA DO PIRAI;12.0;4.0;SEGUNDA-FEIRA;4.0;0;7;06h-08h;MANHA;PLENO DIA;CONDUTOR DORMINDO;COLISÃO FRONTAL;NUBLADO;SIMPLES;RETA;NÃO;0
MG;BR-040;JUIZ DE FORA;12.0;4.0;SEGUNDA-FEIRA;4.0;0;8;06h-08h;MANHA;PLENO DIA;CONDUTOR DORMINDO;SAÍDA DE LEITO CARROÇÁVEL;NUBLADO;DUPLA;RETA;NÃO;0
RS;BR-116;SAO LEOPOLDO;12.0;4.0;SEGUNDA-FEIRA;4.0;0;9;09h-11h;MANHA;PLENO DIA;VELOCIDADE INCOMPATÍVEL;COLISÃO TRANSVERSAL;CÉU CLARO;DUPLA;RETA;SIM;0
MT;BR-070;CUIABA;4.0;2.0;SEXTA-FEIRA;4.0;0;23;21h-23h;NOITE;PLENA NOITE;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRANSVERSAL;CÉU CLARO;SIMPLES;RETA;SIM;0
BA;BR-101;ALAGOINHAS;12.0;4.0;SEGUNDA-FEIRA;4.0;0;9;09h-11h;MANHA;PLENO DIA;CHUVA;TOMBAMENTO;CHUVA;SIMPLES;DECLIVE;NÃO;0
RS;BR-386;NOVA SANTA RITA;12.0;4.0;SEGUNDA-FEIRA;4.0;0;8;06h-08h;MANHA;PLENO DIA;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;INCÊNDIO;CÉU CLARO;SIMPLES;RETORNO REGULAMENTADO;SIM;0
SC;BR-101;SAO JOSE;12.0;4.0;SEGUNDA-FEIRA;4.0;0;9;09h-11h;MANHA;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;TOMBAMENTO;CHUVA;MÚLTIPLA;"DECLIVE;INTERSEÇÃO DE VIAS;RETA";SIM;1
BA;BR-116;VITORIA DA CONQUISTA;12.0;4.0;SEGUNDA-FEIRA;4.0;0;7;06h-08h;MANHA;PLENO DIA;CONDUTOR DORMINDO;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;SIMPLES;RETA;NÃO;0
SP;BR-116;ARUJA;12.0;4.0;SEGUNDA-FEIRA;4.0;0;11;09h-11h;MANHA;PLENO DIA;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;INCÊNDIO;CÉU CLARO;MÚLTIPLA;RETA;SIM;0
PE;BR-101;PALMARES;12.0;4.0;SEGUNDA-FEIRA;4.0;0;11;09h-11h;MANHA;PLENO DIA;CARGA EXCESSIVA E/OU MAL ACONDICIONADA;TOMBAMENTO;CÉU CLARO;DUPLA;CURVA;SIM;0
SP;BR-116;PINDAMONHANGABA;12.0;4.0;SEGUNDA-FEIRA;4.0;0;12;12h-14h;TARDE;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;ENGAVETAMENTO;NUBLADO;DUPLA;RETA;NÃO;0
RS;BR-470;BENTO GONCALVES;12.0;4.0;SEGUNDA-FEIRA;4.0;0;11;09h-11h;MANHA;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;RETA;NÃO;0
SC;BR-470;NAVEGANTES;12.0;4.0;SEGUNDA-FEIRA;4.0;0;12;12h-14h;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;TOMBAMENTO;NUBLADO;DUPLA;"RETA;EM OBRAS";SIM;1
GO;BR-060;RIO VERDE;12.0;4.0;SEGUNDA-FEIRA;4.0;0;10;09h-11h;MANHA;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;DECLIVE;SIM;0
ES;BR-101;CONCEICAO DA BARRA;-1.0;-1.0;SÁBADO;-1.0;0;14;12h-14h;TARDE;PLENO DIA;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;SIMPLES;RETA;NÃO;0
MG;BR-153;PRATA;12.0;4.0;SEGUNDA-FEIRA;4.0;0;13;12h-14h;TARDE;PLENO DIA;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRANSVERSAL;CÉU CLARO;SIMPLES;ROTATÓRIA;NÃO;0
BA;BR-116;POCOES;12.0;4.0;SEGUNDA-FEIRA;4.0;0;8;06h-08h;MANHA;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO COM OBJETO;NUBLADO;SIMPLES;RETA;NÃO;0
ES;BR-101;JOAO NEIVA;12.0;4.0;SEGUNDA-FEIRA;4.0;0;14;12h-14h;TARDE;PLENO DIA;DESRESPEITAR A PREFERÊNCIA NO CRUZAMENTO;COLISÃO TRANSVERSAL;NUBLADO;SIMPLES;"INTERSEÇÃO DE VIAS;ROTATÓRIA";SIM;0
RN;BR-101;NATAL;12.0;4.0;SEGUNDA-FEIRA;4.0;0;14;12h-14h;TARDE;PLENO DIA;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;DUPLA;CURVA;NÃO;0
PE;BR-316;FLORESTA;12.0;4.0;SEGUNDA-FEIRA;4.0;0;14;12h-14h;TARDE;PLENO DIA;CARGA EXCESSIVA E/OU MAL ACONDICIONADA;TOMBAMENTO;CÉU CLARO;SIMPLES;ROTATÓRIA;SIM;0
MT;BR-163;DIAMANTINO;12.0;4.0;SEGUNDA-FEIRA;4.0;0;11;09h-11h;MANHA;PLENO DIA;CONDUTOR DORMINDO;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;SIMPLES;CURVA;NÃO;0
SP;BR-116;SAO JOSE DOS CAMPOS;12.0;4.0;SEGUNDA-FEIRA;4.0;0;14;12h-14h;TARDE;PLENO DIA;CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;COLISÃO TRASEIRA;CÉU CLARO;MÚLTIPLA;RETA;SIM;1
MT;BR-158;AGUA BOA;12.0;4.0;SEGUNDA-FEIRA;4.0;0;15;15h-17h;TARDE;PLENO DIA;TRANSITAR NA CONTRAMÃO;COLISÃO LATERAL SENTIDO OPOSTO;CÉU CLARO;SIMPLES;RETA;NÃO;0
MG;BR-262;IGARATINGA;12.0;4.0;SEGUNDA-FEIRA;4.0;0;15;15h-17h;TARDE;PLENO DIA;CONDUTOR DORMINDO;ATROPELAMENTO DE PEDESTRE;NUBLADO;DUPLA;"RETA;ACLIVE";NÃO;1
MG;BR-262;MATIPO;12.0;4.0;SEGUNDA-FEIRA;4.0;0;16;15h-17h;TARDE;PLENO DIA;ULTRAPASSAGEM INDEVIDA;COLISÃO FRONTAL;NUBLADO;SIMPLES;"RETA;ACLIVE";NÃO;1
MG;BR-251;MONTES CLAROS;12.0;4.0;SEGUNDA-FEIRA;4.0;0;14;12h-14h;TARDE;PLENO DIA;VELOCIDADE INCOMPATÍVEL;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;SIMPLES;"RETA;PONTE;DECLIVE";NÃO;1
MA;BR-226;PRESIDENTE DUTRA;12.0;4.0;SEGUNDA-FEIRA;4.0;0;13;12h-14h;TARDE;PLENO DIA;TRANSITAR NA CONTRAMÃO;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;RETA;NÃO;0
RJ;BR-116;TERESOPOLIS;12.0;4.0;SEGUNDA-FEIRA;4.0;0;16;15h-17h;TARDE;PLENO DIA;VELOCIDADE INCOMPATÍVEL;COLISÃO FRONTAL;CHUVA;SIMPLES;"CURVA;DECLIVE";NÃO;1
SC;BR-116;MONTE CASTELO;12.0;4.0;SEGUNDA-FEIRA;4.0;0;14;12h-14h;TARDE;PLENO DIA;CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;"RETA;DECLIVE";NÃO;0
RO;BR-364;PORTO VELHO;12.0;4.0;SEGUNDA-FEIRA;4.0;0;15;15h-17h;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;RETA;SIM;0
MG;BR-040;NOVA LIMA;12.0;4.0;SEGUNDA-FEIRA;4.0;0;17;15h-17h;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;"RETA;ACLIVE";NÃO;0
PR;BR-277;GUARAPUAVA;12.0;4.0;SEGUNDA-FEIRA;4.0;0;14;12h-14h;TARDE;PLENO DIA;TRANSITAR NA CONTRAMÃO;COLISÃO FRONTAL;NUBLADO;SIMPLES;CURVA;NÃO;0
MT;BR-070;GENERAL CARNEIRO;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;12;12h-14h;TARDE;PLENO DIA;ACOSTAMENTO EM DESNÍVEL;TOMBAMENTO;CÉU CLARO;SIMPLES;"DECLIVE;CURVA";NÃO;0
MG;BR-040;CONSELHEIRO LAFAIETE;12.0;4.0;SEGUNDA-FEIRA;4.0;0;18;18h-20h;NOITE;PLENA NOITE;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRANSVERSAL;NUBLADO;SIMPLES;INTERSEÇÃO DE VIAS;NÃO;0
BA;BR-116;JAGUAQUARA;12.0;4.0;SEGUNDA-FEIRA;4.0;0;15;15h-17h;TARDE;PLENO DIA;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;INCÊNDIO;CÉU CLARO;SIMPLES;RETA;NÃO;0
ES;BR-101;SERRA;12.0;4.0;SEGUNDA-FEIRA;4.0;0;19;18h-20h;NOITE;PLENA NOITE;CONDUTOR DESRESPEITOU A ILUMINAÇÃO VERMELHA DO SEMÁFORO;COLISÃO TRANSVERSAL;CHUVA;MÚLTIPLA;RETA;NÃO;0
AL;BR-423;INHAPI;12.0;4.0;SEGUNDA-FEIRA;4.0;0;14;12h-14h;TARDE;PLENO DIA;CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;RETA;NÃO;0
MT;BR-364;RONDONOPOLIS;12.0;4.0;SEGUNDA-FEIRA;4.0;0;17;15h-17h;TARDE;ANOITECER;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRANSVERSAL;CÉU CLARO;DUPLA;"RETA;RETORNO REGULAMENTADO";SIM;0
SC;BR-282;SAUDADES;12.0;4.0;SEGUNDA-FEIRA;4.0;0;19;18h-20h;NOITE;PLENA NOITE;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRANSVERSAL;NUBLADO;SIMPLES;RETA;NÃO;0
MG;BR-365;VARJAO DE MINAS;12.0;4.0;SEGUNDA-FEIRA;4.0;0;19;18h-20h;NOITE;PLENA NOITE;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;INCÊNDIO;CÉU CLARO;SIMPLES;RETA;NÃO;0
SC;BR-101;TIJUCAS;12.0;4.0;SEGUNDA-FEIRA;4.0;0;20;18h-20h;NOITE;PLENA NOITE;OBJETO ESTÁTICO SOBRE O LEITO CARROÇÁVEL;TOMBAMENTO;NUBLADO;DUPLA;RETA;NÃO;0
RS;BR-290;MINAS DO LEAO;12.0;4.0;SEGUNDA-FEIRA;4.0;0;19;18h-20h;NOITE;PLENA NOITE;CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;RETA;NÃO;0
MT;BR-070;VARZEA GRANDE;12.0;4.0;SEGUNDA-FEIRA;4.0;0;18;18h-20h;NOITE;PLENA NOITE;PEDESTRE CRUZAVA A PISTA FORA DA FAIXA;ATROPELAMENTO DE PEDESTRE;CÉU CLARO;SIMPLES;INTERSEÇÃO DE VIAS;SIM;0
MG;BR-251;FRUTA DE LEITE;12.0;4.0;SEGUNDA-FEIRA;4.0;0;14;12h-14h;TARDE;PLENO DIA;CARGA EXCESSIVA E/OU MAL ACONDICIONADA;COLISÃO LATERAL SENTIDO OPOSTO;CÉU CLARO;SIMPLES;"DECLIVE;CURVA";NÃO;0
SC;BR-101;SAO JOSE;12.0;4.0;SEGUNDA-FEIRA;4.0;0;23;21h-23h;NOITE;PLENA NOITE;CHUVA;COLISÃO TRASEIRA;CHUVA;MÚLTIPLA;RETA;SIM;0
SP;BR-116;MIRACATU;12.0;4.0;SEGUNDA-FEIRA;4.0;0;23;21h-23h;NOITE;PLENA NOITE;MAL SÚBITO DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;NUBLADO;DUPLA;"RETA;DECLIVE";NÃO;0
SC;BR-101;ARAQUARI;12.0;4.0;SEGUNDA-FEIRA;4.0;0;22;21h-23h;NOITE;PLENA NOITE;FREAR BRUSCAMENTE;COLISÃO COM OBJETO;CHUVA;DUPLA;RETA;NÃO;0
SP;BR-116;GUARULHOS;12.0;4.0;SEGUNDA-FEIRA;4.0;0;23;21h-23h;NOITE;PLENA NOITE;ENTRADA INOPINADA DO PEDESTRE;ATROPELAMENTO DE PEDESTRE;CÉU CLARO;MÚLTIPLA;"DESVIO TEMPORÁRIO;EM OBRAS;RETA;DECLIVE";SIM;1
RS;BR-116;SENTINELA DO SUL;12.0;4.0;SEGUNDA-FEIRA;4.0;0;23;21h-23h;NOITE;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;TOMBAMENTO;NUBLADO;DUPLA;CURVA;NÃO;0
BA;BR-101;ITABELA;12.0;4.0;SEGUNDA-FEIRA;4.0;0;19;18h-20h;NOITE;PLENA NOITE;TRANSITAR NA CONTRAMÃO;COLISÃO FRONTAL;GAROA/CHUVISCO;SIMPLES;"CURVA;DECLIVE";NÃO;1
ES;BR-101;PEDRO CANARIO;-1.0;-1.0;TERÇA-FEIRA;-1.0;0;1;00h-02h;MADRUGADA;PLENA NOITE;CONDUTOR DORMINDO;COLISÃO TRASEIRA;NUBLADO;SIMPLES;RETA;SIM;0
MG;BR-050;UBERABA;-1.0;-1.0;TERÇA-FEIRA;-1.0;0;0;00h-02h;MADRUGADA;PLENA NOITE;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;"RETA;ACLIVE";NÃO;0
ES;BR-101;SERRA;-1.0;-1.0;TERÇA-FEIRA;-1.0;0;7;06h-08h;MANHA;PLENO DIA;CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;COLISÃO TRASEIRA;GAROA/CHUVISCO;DUPLA;RETA;NÃO;0
CE;BR-116;AQUIRAZ;-1.0;-1.0;TERÇA-FEIRA;-1.0;0;7;06h-08h;MANHA;PLENO DIA;CONDUTOR DORMINDO;COLISÃO TRASEIRA;SOL;DUPLA;RETA;NÃO;0
TO;BR-153;ARAGUAINA;-1.0;-1.0;TERÇA-FEIRA;-1.0;0;7;06h-08h;MANHA;PLENO DIA;ACUMULO DE AREIA OU DETRITOS SOBRE O PAVIMENTO;TOMBAMENTO;CÉU CLARO;MÚLTIPLA;"CURVA;INTERSEÇÃO DE VIAS;RETORNO REGULAMENTADO";NÃO;0
PA;BR-222;RONDON DO PARA;12.0;4.0;SEGUNDA-FEIRA;4.0;0;22;21h-23h;NOITE;PLENA NOITE;DEFICIÊNCIA DO SISTEMA DE ILUMINAÇÃO/SINALIZAÇÃO;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;RETA;SIM;1
MA;BR-135;ITAPECURU MIRIM;12.0;4.0;SEGUNDA-FEIRA;4.0;0;15;15h-17h;TARDE;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;RETA;NÃO;0
PR;BR-116;PIRAQUARA;-1.0;-1.0;TERÇA-FEIRA;-1.0;0;7;06h-08h;MANHA;PLENO DIA;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;DUPLA;"INTERSEÇÃO DE VIAS;VIADUTO;RETA";NÃO;0
RS;BR-116;NOVO HAMBURGO;-1.0;-1.0;TERÇA-FEIRA;-1.0;0;9;09h-11h;MANHA;PLENO DIA;CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;RETA;SIM;0
PR;BR-277;PARANAGUA;-1.0;-1.0;TERÇA-FEIRA;-1.0;0;10;09h-11h;MANHA;PLENO DIA;VELOCIDADE INCOMPATÍVEL;COLISÃO LATERAL SENTIDO OPOSTO;GAROA/CHUVISCO;DUPLA;RETA;NÃO;0
