uf;br_formatada;municipio;mes;trimestre;dia_semana;dia_semana_num;fim_de_semana;hora;faixa_horaria;turno;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo;acidente_fatal
RN;BR-304;MOSSORO;9.0;3.0;QUARTA-FEIRA;3.0;0;9;09h-11h;MANHA;PLENO DIA;ULTRAPASSAGEM INDEVIDA;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;RETA;NÃO;1
SC;BR-101;GARUVA;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;15;15h-17h;TARDE;PLENO DIA;AVARIAS E/OU DESGASTE EXCESSIVO NO PNEU;QUEDA DE OCUPANTE DE VEÍCULO;CÉU CLARO;DUPLA;RETA;NÃO;0
MG;BR-459;CONGONHAL;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;16;15h-17h;TARDE;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;TOMBAMENTO;CÉU CLARO;SIMPLES;"CURVA;ACLIVE";NÃO;0
PR;BR-116;CURITIBA;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;16;15h-17h;TARDE;PLENO DIA;RETORNO PROIBIDO;COLISÃO TRANSVERSAL;CÉU CLARO;DUPLA;RETA;NÃO;0
RS;BR-116;PORTO ALEGRE;-1.0;-1.0;QUARTA-FEIRA;-1.0;0;22;21h-23h;NOITE;PLENA NOITE;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;SIMPLES;RETA;SIM;0
SC;BR-101;GOVERNADOR CELSO RAMOS;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;17;15h-17h;TARDE;ANOITECER;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;MÚLTIPLA;RETA;NÃO;0
SC;BR-470;BLUMENAU;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;16;15h-17h;TARDE;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;ATROPELAMENTO DE PEDESTRE;SOL;SIMPLES;INTERSEÇÃO DE VIAS;SIM;0
ES;BR-101;SAO MATEUS;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;10;09h-11h;MANHA;PLENO DIA;CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;RETA;NÃO;0
RS;BR-293;SANTANA DO LIVRAMENTO;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;16;15h-17h;TARDE;PLENO DIA;ENTRADA INOPINADA DO PEDESTRE;ATROPELAMENTO DE PEDESTRE;CÉU CLARO;SIMPLES;RETA;SIM;1
RJ;BR-393;BARRA DO PIRAI;-1.0;-1.0;SEGUNDA-FEIRA;-1.0;0;17;15h-17h;TARDE;ANOITECER;CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;QUEDA DE OCUPANTE DE VEÍCULO;CÉU CLARO;SIMPLES;RETA;NÃO;0
